HouseNumber,Street,StreetSuffix,City,State,Zip,StreetName,Address,StateName,Zip4,AddressType,RBDI,Active,Fips,County,ResultCode,MAK
100,Desert Bloom,,Irvine,CA,92618,,100 Desert Bloom,California,8871.0,Street,Residential,Yes,6059,orange                   ,AS01,2776715025
100,Desert Lotus,,Irvine,CA,92618,,100 Desert Lotus,California,835.0,Street,Residential,Yes,6059,orange                   ,AS01,3697162025
100,Diamondback,,Irvine,CA,92618,,100 Diamondback,California,1039.0,Street,Residential,Yes,6059,orange                   ,AS01,4973464626
100,Drama,,Irvine,CA,92618,,100 Drama,California,1304.0,Street,Residential,Yes,6059,orange                   ,AS01,9008910389
100,Draw,,Irvine,CA,92618,,100 Draw,California,1417.0,Street,Residential,Yes,6059,orange                   ,AS01,5091602886
100,Drumbeat,,Irvine,CA,92618,,100 Drumbeat,California,3559.0,Street,Residential,Yes,6059,orange                   ,"AS01,AS17",3352876248
100,Duet,,Irvine,CA,92603,,100 Duet,California,4250.0,Street,Residential,Yes,6059,orange                   ,AS01,6303196220
100,Eagle,Pt,Irvine,CA,92604,,100 Eagle Pt,California,3347.0,Street,Residential,Yes,6059,orange                   ,AS01,2809609456
100,Echo,Run,Irvine,CA,92614,,100 Echo Run,California,7425.0,Street,Residential,Yes,6059,orange                   ,AS01,3990329533
100,Electra,,Irvine,CA,92618,,100 Electra,California,1035.0,Street,Residential,Yes,6059,orange                   ,AS01,5672534997
100,Episode,,Irvine,CA,92618,,100 Episode,California,1379.0,Street,Residential,Yes,6059,orange                   ,AS01,3796894481
100,Excursion,,Irvine,CA,92618,,100 Excursion,California,819.0,Street,Residential,Yes,6059,orange                   ,AS01,5473172968
100,Fairbridge,,Irvine,CA,92618,,100 Fairbridge,California,872.0,Street,Residential,Yes,6059,orange                   ,AS01,7621408563
100,Fairgreen,,Irvine,CA,92618,,100 Fairgreen,California,3541.0,Street,Residential,Yes,6059,orange                   ,AS01,9114421523
100,Fairlake,,Irvine,CA,92614,,100 Fairlake,California,7553.0,Street,Residential,Yes,6059,orange                   ,AS01,3669075917
100,Falcon,Rdg,Irvine,CA,92618,,100 Falcon Rdg,California,8894.0,Street,Residential,Yes,6059,orange                   ,AS01,3939425413
100,Fieldwood,,Irvine,CA,92618,,100 Fieldwood,California,1156.0,Street,Residential,Yes,6059,orange                   ,AS01,8646922614
